UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
2002152995,Daniel,21,73 kg,180 cm,,-,BRA,Serie A,Juventus,"€2,236,000 p/a",€75M,30/6/2034,"AM (R), ST (C)",AM (R),24,"2,588",85%,0.21,0.16,1.67,0.97,0.45,29%,0.49,18%,-1.78,0.94,0.42,0.45,0.48,0,4.47,1.46,81%,0.28,0,0.03,3.48,29%,1.01,0.17,4.42,9.29,7.51,2.75,12.7km,1.95,8,-,-,-,-,-,-,-
2000181790,Junior Kroupi,26,80 kg,180 cm,,-,FRA,Serie A,Bologna,"€529,000 p/a",€2.1M,30/6/2034,"AM (C), ST (C)",-,8,959,90%,0.19,0.15,2.82,1.22,0.38,33%,0.09,22%,0.95,0.38,0.19,0.56,0.1,0,1.61,0.94,77%,0.66,0,0.09,3.57,29%,1.03,0.09,4.79,7.6,7.04,1.31,14.1km,1.5,7.6,-,-,-,-,-,-,-
2002133481,Michael Kayembe,23,75 kg,180 cm,,-,BEL,Serie A,Monza,"€3,594,000 p/a",-,30/6/2035,"M (R), AM (RLC), ST (C)","M (R), AM (RLC)",27,"2,338",84%,0.04,0.08,0.5,0.65,0.23,29%,0.08,28%,3.5,0.81,0.46,0.73,0.33,0,2.11,1.12,83%,0.15,0,0,3.62,29%,1.04,0.08,3.46,7.58,5.89,1.77,12.2km,1.39,8.08,-,-,-,-,-,-,-
2002072785,Loïc Colot,25,70 kg,180 cm,,-,BEL,Jupiler Pro League,Royal Antwerp,"€343,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",AM (RLC),14,"1,880",75%,0.1,0.05,2.06,0.34,0.05,26%,0.43,14%,0.84,1.63,0.48,0.72,0.44,0,1.03,1.72,72%,0.53,0,0,4.5,29%,1.29,0.24,1.82,12.54,5.98,1.82,8.5km,1.77,5.55,-,-,-,-,-,-,-
16202374,Junior Adamu,31,79 kg,182 cm,,-,AUT,Eredivisie,FC Utrecht,"€1,319,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",AM (RLC),42,"3,248",87%,0.19,0.14,1.66,0.89,0.42,17%,0.17,20%,2.87,1.19,0.5,1.03,0.33,1,4.92,1.8,76%,0.28,0.08,0.03,5.79,29%,1.66,0.22,5.49,9.28,7.79,1.41,12.6km,2.85,10.83,-,-,-,-,-,-,-
48042432,Timothy Weah,33,66 kg,185 cm,,-,USA,Ligue 1 Uber Eats,FC Nantes,"€3,521,000 p/a",-,30/6/2033,"WB/M (R), AM (RLC), ST (C)","WB (R), AM (LC)",-,167,83%,-,0.39,4.85,2.16,0.54,17%,0.54,-,0,-,-,0,0,0,0.73,1.62,60%,1.08,0,0,7.54,29%,2.16,0.54,7.01,18.86,14.01,3.23,16.3km,4.85,18.86,-,-,-,-,-,-,-
43372893,Eddie Salcedo,31,74 kg,178 cm,,-,ITA,Serie A,Ascoli,"€1,154,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",AM (RL),25,"1,888",88%,-,0.03,0.72,0.33,0.1,0%,0,27%,-0.25,0.81,0.33,0.19,0.27,1,0.69,1.72,73%,0.38,0.05,0,3.34,29%,0.95,0.14,3.62,6.86,3.62,0.91,12.6km,1.53,8.68,-,-,-,-,-,-,-
2000254421,Lino Decresson,26,67 kg,168 cm,,-,BEL,Jupiler Pro League,Genk,"€910,000 p/a",-,30/6/2036,"AM (C), ST (C)",AM (C),13,"1,418",70%,0.32,0.08,0.25,0,0.13,-,0,24%,5.22,1.08,0.57,0.06,0.24,0,1.25,1.02,50%,0.06,0,0.06,0.89,29%,0.25,0.06,0.76,2.22,1.59,0.38,2.2km,0.25,1.27,-,-,-,-,-,-,-
2000100674,Daniel Pitchford,25,89 kg,183 cm,,-,ENG,English Premier League,Leicester,"€9,337,000 p/a",-,30/6/2037,ST (C),-,36,"2,785",83%,0.26,0.16,1.32,0.97,0.45,15%,0.13,17%,-2.38,0.58,0.29,0.55,0.37,0,4.82,2.49,85%,0.68,0,0.03,10.31,29%,2.94,0.13,5.98,10.99,9.02,1.68,13.4km,2.84,11.83,-,-,-,-,-,-,-
2000214136,George Ilenikhena,26,79 kg,186 cm,,-,NGA,Jupiler Pro League,Royal Antwerp,"€1,220,000 p/a",-,30/6/2035,"AM (R), ST (C)",AM (R),37,"2,982",82%,0.18,0.13,1.57,0.63,0.18,17%,0.21,15%,6.13,1.66,0.48,0.94,0.3,0,4.18,1.24,84%,0.36,0,0,6.58,28%,1.87,0.24,2.78,11.56,5.46,1.78,8.9km,1.6,5.55,-,-,-,-,-,-,-
