UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
29174249,Ben Wilmot,33,74 kg,188 cm,,-,IRL,English Premier League,Stoke,"$4,110,000 p/a",$400K,30/6/2033,"D (RC), DM","D (R), DM",3,443,91%,-,0.03,4.67,0.41,-,0%,0,-,-0.02,0,-,0.2,0,0,0.16,4.67,85%,0.81,0.61,0,4.47,64%,2.84,1.02,9.75,6.5,7.52,0.61,12.8km,2.23,8.94,-,-,-,-,-,-,-
95078001,Maximilian Dietz,30,74 kg,189 cm,,Tight calf,USA,English Premier League,Cardiff,"$2,253,000 p/a",$13.5M,30/6/2034,"D (C), DM, M (C)",M (C),13,"1,386",85%,0.06,0.01,4.03,0.26,-,0%,0,-,-1.08,0.32,-,0.13,0.07,1,0.23,1.49,82%,1.1,0.26,1.56,7.99,76%,6.1,0.71,10,7.34,7.73,-,12.5km,2.14,7.66,-,-,-,-,-,-,-
2002135363,Gethin Giles,19,78 kg,185 cm,,-,WAL,English Premier League,Man City,"$1,967,000 p/a",-,30/6/2036,D (C),-,3,370,95%,-,0,6.32,0.24,-,-,0,-,-0.02,0,-,0,0,0,0,1.22,71%,2.43,0.73,0.73,6.57,81%,5.35,1.22,11.92,6.08,3.89,-,12.1km,1.22,3.65,-,-,-,-,-,-,-
12078947,Wilfried Singo,32,79 kg,190 cm,,-,CIV,English Premier League,Fulham,"$5,603,000 p/a",-,30/6/2034,"D (RC), WB/M (R)",D (C),20,"1,333",88%,0.14,0.15,4.79,1.01,0.27,30%,0.2,-,-0.7,0.14,-,0.34,0.05,0,2.21,3.11,73%,1.35,0.14,0.27,4.79,76%,3.65,0.68,13.71,9.65,16.54,3.31,14.2km,2.7,8.98,-,-,-,-,-,-,-
2002073266,Jean-Christophe Gilson,25,73 kg,176 cm,,Tight thigh,BEL,English Premier League,Middlesbrough,"$5,906,000 p/a",-,30/6/2037,"DM, M (C)",M (C),19,"1,746",88%,-,0.06,4.33,0.93,0.21,27%,0.15,-,-0.91,0.26,-,0.82,0.05,0,1.21,2.01,87%,0.52,0.21,0,2.01,26%,0.52,0.36,7.53,8.66,14.95,0.62,13.7km,2.32,9.9,-,-,-,-,-,-,-
12080051,Pape Matar Sarr,30,70 kg,184 cm,,-,SEN,English Premier League,Tottenham,"$29,203,000 p/a",-,30/6/2035,"DM, M (C)",-,25,"2,149",89%,0.25,0.22,5.19,1.51,0.84,28%,0.21,6%,-0.88,0.59,0.13,1.13,0.16,1,5.31,1.84,72%,0.54,0.08,0.13,3.52,42%,1.47,0.25,8.12,9.46,13.36,1.38,14.5km,3.35,11.52,-,-,-,-,-,-,-
95079228,Alex Scott,29,70 kg,178 cm,,-,ENG,English Premier League,Man City,"$15,451,000 p/a",-,30/6/2036,"WB (R), DM, M (C), AM (RC)",WB/AM (R),24,"1,861",88%,0.29,0.22,5.37,1.84,0.58,14%,0.15,11%,-1.91,0.73,0.19,0.87,0.29,0,4.5,1.84,79%,0.15,0,0.05,2.61,28%,0.73,0.29,6.29,9.72,12.09,2.71,14.1km,2.9,10.64,-,-,-,-,-,-,-
37076092,Noni Madueke,30,73 kg,176 cm,,Tight hamstring,ENG,English Premier League,Wolves,"$8,604,000 p/a",-,30/6/2034,"M (RL), AM (RLC)","M (L), AM (LC)",26,"2,096",81%,0.26,0.14,2.4,0.9,0.52,14%,0.34,17%,2.12,0.9,0.26,0.47,0.17,0,3.37,1.93,85%,0.52,0.04,0.13,5.5,48%,2.62,0.43,7.81,14.21,12.15,2.71,13.7km,3.78,14.6,-,-,-,-,-,-,-
12087972,Nicolas Jackson,31,78 kg,186 cm,,-,SEN,English Premier League,Chelsea,"$12,997,000 p/a",$5.5M,30/6/2033,"AM (RLC), ST (C)",AM (LC),2,478,88%,-,0.12,2.64,0.38,0.19,6%,0.19,8%,-0.73,0.75,0.19,0.56,0.33,0,0.66,1.51,73%,0.56,0,0,8.28,36%,3.01,-,7.34,12.8,7.91,3.39,13.5km,2.64,8.85,-,-,-,-,-,-,-
96122121,Patryk Peda,30,76 kg,190 cm,,-,POL,English Premier League,Brighton,"$3,964,000 p/a",-,30/6/2036,"D (C), DM",DM,19,"1,651",82%,0.05,0.06,4.03,0.44,0.22,0%,0,-,-1.74,0.55,-,0.05,0.09,0,1.11,1.2,79%,1.85,0.27,1.31,7.69,80%,6.16,0.76,10.74,8.12,5.89,-,11.7km,0.93,3.54,-,-,-,-,-,-,-
