UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
59006269,Henrikh Mkhitaryan,35,75 kg,177 cm,,-,ARM,Serie A enilive,Inter,"€4,870,000 p/a",30/6/2025,"DM, M/AM (C)","DM, AM (C)",20,"1,533",89%,0.18,0.23,3.23,1.23,0.23,25%,0.23,5%,-0.37,0.47,0.41,0.08,0,2.23,73%,0.47,0.12,0,2.17,30%,0.65,0.29,14.15,13.44,11.68,1,12.5km,3.23,11.1,-,-,-,-
24023726,Ante Rebić,31,77 kg,185 cm,,Torn thigh muscle,CRO,Serie A enilive,Lecce,"€1,097,000 p/a",30/6/2024,"AM (L), ST (C)",ST (C),18,"1,197",85%,-,0.08,1.58,1.2,0.45,17%,0.15,17%,1.3,0.98,0.75,0.28,0,1.88,86%,0.38,0,0.15,7.82,38%,3.01,0.15,1.8,16.32,6.39,0.6,11.6km,2.18,7.29,-,-,-,-
19265858,Richarlison,27,71 kg,181 cm,,-,BRA,English Premier League,Tottenham,"€10,613,000 p/a",30/6/2026,"AM (RL), ST (C)",AM (R),20,"1,501",82%,-,0.08,1.68,1.14,0.12,18%,0.36,7%,-0.67,0.72,0.42,0.16,0,3.24,84%,0.54,0.06,0.06,5.82,37%,2.16,0.3,5.04,20.87,14.09,2.7,12.9km,4.14,11.75,-,-,-,-
43270517,Nicolò Zaniolo,25,79 kg,189 cm,,-,ITA,Serie A enilive,Fiorentina,"€4,993,000 p/a",30/6/2027,"AM (RLC), ST (C)","AM (C), ST (C)",17,"1,385",85%,0.06,0.21,0.97,0.71,0.19,19%,0,24%,4.12,1.17,0.65,0.25,0,1.62,81%,0.06,0,0.19,7.67,40%,3.05,0.13,1.88,18.26,6.11,1.62,12.1km,2.01,7.21,-,-,-,-
29110623,Ollie Watkins,29,70 kg,180 cm,,-,ENG,English Premier League,Aston Villa,"€7,277,000 p/a",30/6/2027,"AM (RL), ST (C)",AM (RL),26,"2,273",87%,0.16,0.07,0.71,0.63,0.12,5%,0.04,12%,-0.86,1.43,0.99,0.43,0,1.54,78%,0.12,0,0.16,7.05,42%,2.93,0.16,2.89,15.44,7.13,1.19,12.0km,1.7,7.09,-,-,-,-
13160655,Reinildo,30,68 kg,180 cm,,-,MOZ,LaLiga EA SPORTS,Atlético Madrid,"€2,012,000 p/a",30/6/2026,"D (LC), WB (L)",WB (L),8,"1,192",92%,0.08,0.06,4.91,0.38,0.3,0%,0,-,-0.13,0.08,0.23,0.01,0,1.28,81%,0.83,0.23,0.38,5.51,75%,4.15,0.83,16.01,3.78,8.38,0.38,12.2km,1.28,4.76,-,-,-,-
34011687,Alexandre Lacazette,33,72 kg,175 cm,,-,FRA,Ligue 1 McDonald's,Lyon,"€5,385,000 p/a",30/6/2024,ST (C),-,18,"1,482",86%,0.06,0.09,1.4,0.85,0.24,5%,0.06,5%,-3.68,1.58,0.97,0.41,0,1.15,76%,0.36,0.06,0,6.68,23%,1.52,0.06,2.79,17.79,8.68,1.64,12.1km,1.7,7.83,-,-,-,-
43094100,Lorenzo Pellegrini,28,77 kg,186 cm,,Pulled hamstring,ITA,Serie A enilive,Roma,"€6,480,000 p/a",30/6/2027,"DM, M/AM (C)",DM,21,"1,550",84%,0.35,0.24,2.85,1.57,0.46,22%,0.12,16%,0.72,0.41,0.46,0.13,0,2.15,82%,0.75,0.12,0.12,3.6,39%,1.39,0.17,13.12,13.24,13.01,1.39,13.4km,3.14,10.8,-,-,-,-
14186894,Juan Foyth,26,69 kg,187 cm,,-,ARG,LaLiga EA SPORTS,Villarreal,"€2,513,000 p/a",30/6/2028,"D (RC), DM",DM,18,"1,570",91%,0.11,0.08,6.76,0.75,0.29,15%,0.23,20%,0.37,0.11,0.11,0.04,0,2.81,84%,1.61,0.06,0.57,5.56,60%,3.32,0.69,15.65,11.01,13.99,1.78,12.7km,2.58,7.28,-,-,-,-
67199158,Brais Méndez,27,76 kg,187 cm,,-,ESP,LaLiga EA SPORTS,Real Sociedad,"€1,683,000 p/a",30/6/2027,"M (C), AM (RC)",M (C),19,"1,711",86%,0.11,0.19,3.63,1.79,0.37,20%,0.53,11%,0.03,0.68,0.84,0.21,0,2.05,78%,0.47,0,0,3.95,55%,2.16,0.21,6.58,18.15,15.73,2.63,13.1km,2.84,12.83,-,-,-,-
43093395,Alessio Romagnoli,29,78 kg,188 cm,,Torn calf muscle,ITA,Serie A enilive,Lazio,"€5,560,000 p/a",30/6/2026,D (C),-,20,"1,766",93%,-,0.02,3.67,0.15,0.05,100%,0.05,17%,0.57,0.05,0.05,0.02,0,1.38,87%,1.07,0.31,1.07,6.93,81%,5.61,0.61,17.38,1.73,5.76,0.1,11.4km,1.27,2.65,-,-,-,-
8169215,Axel Witsel,35,81 kg,186 cm,,-,BEL,LaLiga EA SPORTS,Atlético Madrid,"€6,240,000 p/a",30/6/2024,"D (C), DM, M (C)",M (C),22,"1,910",94%,0.09,0.08,4.66,0.38,0.09,0%,0,-,-0.61,0.05,0.05,0.03,0,1.65,83%,0.99,0.33,0.52,5.28,63%,3.35,0.38,16.77,3.06,6.36,0.05,12.0km,1.41,3.82,-,-,-,-
67157624,Kepa Arrizabalaga,30,88 kg,188 cm,,-,ESP,English Premier League,Bournemouth,"€10,309,000 p/a",30/6/2025,GK,-,18,"1,481",59%,-,0,0.73,0,-,-,-,-,0,-,-,0,0,-,-,3.65,0,0,-,-,-,-,3.65,10.82,0,-,6.1km,0,0,16,30,29,0
67104772,Íñigo Martínez,33,77 kg,182 cm,,-,ESP,LaLiga EA SPORTS,FC Barcelona,"€8,975,000 p/a",30/6/2024,D (C),-,15,"1,414",93%,0.06,0.11,4.58,0.45,0.13,0%,0,-,-0.01,0,0,0,0,1.4,92%,0.95,0.57,0.7,6.87,67%,4.58,0.45,15.59,4.84,5.54,0.13,11.4km,1.21,3.06,-,-,-,-
92071707,Alexander Nübel,28,88 kg,193 cm,,-,GER,Bundesliga,VfB Stuttgart,"€3,490,000 p/a",30/6/2028,GK,-,21,"1,776",85%,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0%,0.81,0,0,-,-,-,-,3.09,7.65,0,-,6.2km,0,0,15,41,19,0.15
67156425,Raúl De Tomás,30,72 kg,180 cm,,-,ESP,LaLiga EA SPORTS,Vallecano,"€3,203,000 p/a",30/6/2026,ST (C),-,16,"1,428",85%,-,0.02,1.13,0.95,0.06,29%,0.13,11%,-0.12,1.26,0.95,0.27,0,1.26,83%,0.44,0,0.06,7.06,29%,2.08,0.13,2.33,24.89,7.18,0.76,11.9km,1.45,7.18,-,-,-,-
14042683,Joaquín Correa,30,74 kg,188 cm,,-,ARG,Serie A enilive,Inter,"€6,480,000 p/a",30/6/2024,"M (L), AM (LC), ST (C)","M (L), AM (LC)",18,"1,236",87%,-,0.07,1.17,0.8,0.22,0%,0,12%,0.9,1.6,0.95,0.3,0,1.46,74%,0.15,0,0,5.75,27%,1.53,0.07,1.46,25.41,6.55,2.11,11.6km,1.97,7.35,-,-,-,-
28054565,Jordan Pickford,30,77 kg,187 cm,,-,ENG,English Premier League,Everton,"€9,097,000 p/a",30/6/2026,GK,-,20,"1,768",79%,-,0,0.56,0,-,-,-,-,0,-,-,0,2,0,0%,6.82,0,0,-,-,-,-,4.58,7.58,0,-,5.8km,0,0,12,36,28,0.13
43094150,Ivan Provedel,30,84 kg,192 cm,,-,ITA,Serie A enilive,Lazio,"€3,089,000 p/a",30/6/2027,GK,-,24,"2,160",88%,-,0,0.17,0,-,-,-,-,0,-,-,0,0,0,0%,6.46,0,0,-,-,-,-,4.54,6.46,0,-,6.2km,0,0,13,42,13,0.17
1510305,Pedro,37,65 kg,167 cm,,-,ESP,Serie A enilive,Lazio,"€2,820,000 p/a",30/6/2024,AM (RL),-,19,"1,369",87%,0.07,0.15,3.16,2.24,0.33,19%,0.53,20%,2.71,0.66,0.79,0.28,0,3.22,80%,0.53,0.07,0,3.55,20%,0.72,0.07,6.57,16.96,13.54,2.63,12.8km,4.54,13.94,-,-,-,-
