UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
65010145,Ronwen Williams,34,76 kg,184 cm,,-,RSA,DStv Premiership,Sundowns,"€249,000 p/a",-,30/6/2027,GK,-,40,"3,572",67%,0.03,0.01,0.5,0,-,-,-,-,0,-,-,-,0,0,0.23,0.1,44%,6.55,0,0,-,-,-,-,5.49,7.79,0.08,-,4.5km,0,0,24,68,55,0.29,1.11,85%,81%
65033785,Teboho Mokoena,29,68 kg,176 cm,,-,RSA,DStv Premiership,Sundowns,"€654,000 p/a",-,30/6/2027,"DM, M (C)",-,23,"1,815",88%,0.2,0.19,7.59,1.74,0.3,13%,0.05,27%,2.02,0.79,0.4,0.94,0.14,0,3.76,1.98,73%,0.4,0.1,0.2,3.87,45%,1.74,0.25,11.9,9.27,5.8,0.5,12.7km,3.42,10.66,-,-,-,-,-,-,-
83319987,Patrick Maswanganyi,27,68 kg,178 cm,,-,RSA,DStv Premiership,Orlando Pirates,"€353,000 p/a",-,30/6/2028,AM (RC),-,25,"2,201",84%,0.33,0.36,4.09,2.13,0.7,19%,0.37,16%,0.1,0.98,0.33,0.7,0.29,0,8.79,1.06,81%,0.53,0.08,0,5.93,48%,2.82,0.29,6.79,9.57,9.12,1.68,13.4km,2,7.61,-,-,-,-,-,-,-
14196911,Matías Esquivel,26,63 kg,165 cm,,-,ARG,DStv Premiership,Sundowns,"€230,000 p/a",-,30/6/2028,M/AM (RC),"M (R), AM (C)",32,"2,702",89%,0.53,0.3,6.96,1.8,0.7,21%,0.4,5%,-2.41,0.9,0.1,1.37,0.15,0,9.1,1.97,79%,0.63,0.07,0.07,3.1,30%,0.93,0.37,10.66,10.43,8.93,1.1,13.0km,4.06,12.99,-,-,-,-,-,-,-
65030271,Iqraam Rayners,30,69 kg,176 cm,,-,RSA,DStv Premiership,Sundowns,"€522,000 p/a",-,30/6/2028,"AM (RC), ST (C)",-,22,"1,935",89%,0.19,0.14,1.3,0.98,0.37,23%,0.37,23%,1.37,0.98,0.56,0.98,0.42,0,3.05,1.16,89%,0.47,0,0,7.95,20%,1.63,0.19,3.53,9.63,4.65,1.58,12.0km,2.14,6.51,-,-,-,-,-,-,-
65029935,Aubrey Modiba,30,66 kg,171 cm,,-,RSA,DStv Premiership,Sundowns,"€432,000 p/a",-,30/6/2028,"D/WB (L), M (RL), AM (L)","M (R), AM (L)",20,"1,679",83%,0.32,0.25,5.47,1.55,0.48,18%,0.86,11%,-0.31,0.43,0.11,0.21,0.12,0,4.66,2.09,75%,0.48,0.05,0.16,3.32,40%,1.34,0.38,8.31,12.06,15.6,3.65,13.5km,2.68,10.4,-,-,-,-,-,-,-
65028567,Rivaldo Coetzee,29,75 kg,178 cm,,-,RSA,DStv Premiership,Sundowns,"€482,000 p/a",-,30/6/2027,"D (C), DM, M (C)",-,20,"1,793",90%,0.15,0.09,6.12,0.55,0.2,25%,0.05,11%,0.71,0.3,0.1,0.2,0.06,0,1.73,1.15,77%,0.9,0.3,1.31,8.03,81%,6.53,0.55,15.81,5.97,4.37,0.25,11.5km,1.81,4.82,-,-,-,-,-,-,-
13208828,Ammar Hamdi,26,64 kg,168 cm,,-,EGY,DStv Premiership,Sekhukhune Utd,"€182,000 p/a",-,30/6/2027,"D/WB (R), M/AM (RC)","WB (R), M (RC), AM (C)",8,720,82%,0.25,0.27,6.25,1.88,0.5,24%,0.75,20%,0.44,0.5,0.25,0.25,0.2,0,2.17,2,84%,1.25,0,0.12,5.88,28%,1.62,0.5,6.38,9.88,12.12,1.75,12.8km,2.5,9.62,-,-,-,-,-,-,-
86041320,José Sagredo,32,69 kg,180 cm,,-,BOL,DStv Premiership,Orlando Pirates,"€204,000 p/a",-,30/6/2027,D (LC),D (L),10,875,92%,-,0.07,5.04,0.82,0.21,33%,0.51,-,-0.08,0.1,-,0,0.01,0,0.65,2.37,88%,1.44,0,0.51,6.07,61%,3.7,0.82,10.9,5.97,8.13,0.72,11.8km,1.13,5.97,-,-,-,-,-,-,-
65035924,Sipho Mbule,27,74 kg,180 cm,,-,RSA,DStv Premiership,Sundowns,"€459,000 p/a",-,30/6/2029,"M (LC), AM (C)",AM (C),25,"1,835",88%,0.34,0.23,5.15,1.47,0.44,25%,0.69,14%,0.76,0.88,0.29,0.69,0.26,0,4.59,1.67,83%,0.88,0,0.44,4.46,63%,2.8,0.54,8.68,10.64,12.21,2.8,13.0km,3.09,11.43,-,-,-,-,-,-,-
65025688,Mosa Lebusa,33,70 kg,183 cm,,-,RSA,DStv Premiership,SuperSport Utd,"€127,000 p/a",-,30/6/2026,D (LC),-,18,"1,571",82%,0.06,0.07,3.55,0.69,0.23,15%,0.23,33%,1.41,0.23,0.11,0.06,0.03,0,1.2,2.06,78%,2.18,0.23,0.46,5.16,59%,3.04,0.69,10.31,9.4,10.6,0.57,11.8km,1.66,4.87,-,-,-,-,-,-,-
65039447,Khuliso Mudau,30,74 kg,181 cm,,-,RSA,DStv Premiership,Sundowns,"€480,000 p/a",-,30/6/2027,D/WB/M/AM (R),AM (R),22,"1,930",85%,0.37,0.23,6.53,1.35,0.65,20%,0.89,8%,-0.74,0.14,0.05,0.19,0.08,0,4.97,1.68,84%,1.4,0,0.19,3.87,51%,1.96,0.61,9.42,11.7,15.3,2.33,12.9km,2.66,9,-,-,-,-,-,-,-
65032160,Rushine De Reuck,30,79 kg,183 cm,,-,RSA,DStv Premiership,Sundowns,"€192,000 p/a",-,30/6/2027,D (RC),D (R),31,"2,640",89%,-,0.01,5.86,0.34,0.07,25%,0.1,8%,0.25,0.24,0.03,0,0.03,1,0.4,1.43,79%,1.5,0.44,0.82,6.41,73%,4.67,0.65,14.45,6.24,4.7,0.27,11.2km,1.53,4.53,-,-,-,-,-,-,-
