UID,Name,Age,Weight,Height,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
2000188551,Lars Vrolijks,20,80 kg,190 cm,-,NED,Keuken Kampioen Divisie,FC Den Bosch,N/A,-,GK,-,16,"1,547",46%,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0%,9.13,0,0,-,-,-,-,1.16,8.96,0,-,5.5km,0,0,6,32,16,-0.2
2000185104,Harry Crawford,18,67 kg,179 cm,-,AUS,Isuzu UTE A-League,Adelaide United,"€1,800 p/a",30/6/2028,AM (RL),-,20,"1,570",88%,0.23,0.1,2.01,1.09,0.11,11%,0.4,9%,-0.95,0.52,0.63,0.17,0,2.35,84%,0.8,0.06,0,6.25,27%,1.66,0.52,4.64,18.52,11.35,3.04,12.3km,3.61,11.58,-,-,-,-
2000124021,Sotiri Phillis,18,77 kg,186 cm,Tight thigh,AUS,Isuzu UTE A-League,Adelaide United,"€1,800 p/a",30/6/2028,D (C),-,12,"1,130",82%,-,0.04,3.74,0.24,0.08,0%,0,14%,0.09,0.16,0.16,0.07,0,1.27,89%,1.19,0.24,1.83,8.92,72%,6.45,0.24,14.34,4.06,4.22,0.24,10.7km,1.35,3.03,-,-,-,-
2002140490,Timuçin Kutlu,18,81 kg,191 cm,-,AUS,Isuzu UTE A-League,Brisbane Roar,"€1,800 p/a",30/6/2029,D (C),-,26,"2,375",85%,0.04,0.03,3.49,0.34,0.04,27%,0.11,-,-2.39,0,0.23,0.09,0,1.33,88%,1.52,0.38,1.33,9.21,74%,6.86,0.3,12.88,4.47,4.55,-,10.3km,1.29,3.03,-,-,-,-
2002169330,Petros Nalbantis,17,73 kg,185 cm,-,AUS,Isuzu UTE A-League,Newcastle Jets,"€1,800 p/a",30/6/2030,M (C),-,12,"1,115",88%,-,0.04,3.15,0.97,-,0%,0,-,-0.11,0,0.08,0.01,0,2.02,83%,0.4,0.08,0.08,5.49,26%,1.45,0.57,7.35,22.68,9.61,1.37,12.5km,3.07,11.3,-,-,-,-
2002140489,Kevin Reuvers,17,69 kg,179 cm,Sprained ankle ligaments,AUS,Isuzu UTE A-League,Brisbane Roar,"€1,800 p/a",30/6/2029,ST (C),-,21,"1,900",87%,0.05,0.07,0.38,0.38,0.24,0%,0,6%,-2.68,0.71,0.38,0.22,0,0.99,84%,0.57,0,0,10.28,17%,1.71,0.38,1.42,18.99,7.06,0.85,11.7km,1.56,6.3,-,-,-,-
2002140485,Oscar Hunter,17,81 kg,189 cm,-,AUS,Isuzu UTE A-League,Western United FC,"€1,800 p/a",30/6/2029,D (C),-,20,"1,850",85%,-,0.03,3.75,0.44,0.19,33%,0.1,7%,-0.41,0.24,0.24,0.07,0,1.12,85%,1.95,0.29,0.58,9.39,59%,5.55,0.54,12.55,5.16,4.57,0.05,10.9km,1.12,3.11,-,-,-,-
2000252545,Nathan Barrie,18,78 kg,182 cm,-,AUS,Isuzu UTE A-League,Western Sydney Wanderers,"€1,800 p/a",30/6/2028,D (C),-,15,"1,345",85%,-,0.01,4.08,0.27,-,0%,0,-,-1.07,0,0,0.07,0,1.27,79%,1.2,0.27,1.67,8.7,82%,7.16,0.54,11.71,5.02,4.55,-,10.2km,1.41,3.55,-,-,-,-
70131675,Abdurrahman Emek,24,70 kg,178 cm,-,TUR,Spor Toto 1. Lig,İstanbulspor,"€3,400 p/a",30/6/2026,D (L),-,12,"1,386",80%,-,0.08,5.39,0.97,-,14%,0.52,-,-0.29,0.06,0.06,0.02,0,2.34,75%,0.97,0.13,0.45,5.91,57%,3.38,0.84,9.48,14.81,13.64,1.17,12.4km,2.4,7.4,-,-,-,-
2002087987,Luka Gibson,20,80 kg,187 cm,-,AUS,Isuzu UTE A-League,Newcastle Jets,"€3,600 p/a",30/6/2027,D (LC),-,18,"1,734",86%,-,0.01,2.96,0.26,0.1,15%,0.1,-,-0.2,0.05,0.21,0.01,0,1.3,86%,1.71,0.31,1.04,9.03,70%,6.33,0.36,8.88,7.79,6.23,-,11.3km,1.25,4.2,-,-,-,-
