UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
37006831,Charlton Vicento,34,76 kg,181 cm,,-,CUW,Derde Klasse Zondag B Zuid 1,Oosterhout,N/A,-,AM (RL),-,43,"3,870",67%,0.21,0.1,0,0,-,-,0,5%,-1.77,0.51,0,0.11,0,0.91,81%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
85050729,Nabil Ghilas,35,83 kg,183 cm,,-,ALG,Championnat Divisions Inférieures,Berre SPC,N/A,-,ST (C),-,42,"3,794",57%,0.17,0.04,0,0,-,-,0,9%,-5.72,1.14,0,0.4,0,1.02,55%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
28059817,Michael Harriman,32,75 kg,171 cm,,Knee tendonitis,IRL,-,Whyteleafe,N/A,-,D (C),-,36,"3,284",68%,-,0,0,0,-,-,0,6%,-0.99,0.05,0,0.05,0,1.92,95%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
76022058,José Ramírez,32,76 kg,180 cm,,-,COL,Torneo Nacional Interclubes Primera C,Unión Pacífico Sur,N/A,-,M/AM (C),-,10,900,71%,0.2,0.04,0,0,-,-,0,19%,1.93,0.5,0,0.11,0,1.3,87%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
18052166,Harlem Gnohéré,37,94 kg,183 cm,,-,FRA,Division 3 amateur ACFF A,FC Flénu,N/A,-,ST (C),-,40,"3,626",58%,0.02,0.05,0,0,-,-,0,17%,4.83,1.41,0,0.34,0,1.07,67%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
15039109,Jai Ingham,31,72 kg,180 cm,,-,NZL,Victorian State League 1 South-East,Malvern City,N/A,-,AM (RL),-,39,"3,510",70%,0.13,0,0,0,-,-,0,6%,-3.88,0.67,0,0.2,0,1.03,67%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
91018454,Viktor Maier,35,76 kg,184 cm,,-,KGZ,DFB Lower Leagues,Vorwärts Nordhorn,N/A,-,AM (R),-,43,"3,870",67%,0.14,0.09,0,0,-,-,0,1%,-7.89,0.72,0,0.21,0,0.81,80%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
65010094,Buhle Mkhwanazi,35,76 kg,182 cm,,-,RSA,SAFA Second Division - Gauteng,Wits,N/A,-,D (C),-,42,"3,789",69%,0.17,0,0,0,-,-,0,18%,1.02,0.05,0,0.02,0,1.95,94%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
37022053,Aleksandar Stankov,34,75 kg,185 cm,,-,MKD,1e Provenciale Limburg,Turkse Rangers,N/A,-,ST (C),-,41,"3,690",59%,0.24,0.09,0,0,-,-,0,12%,2.83,1.54,0,0.27,0,1.02,64%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
89053873,Uday Arora,28,78 kg,181 cm,,-,IND,League1 Ontario,Woodbridge Strikers,N/A,-,D/WB (R),-,10,900,87%,0.1,0.19,2.6,1.1,0.2,12%,0.8,11%,-1.27,0.1,0.2,0.23,0,1.7,77%,2.3,0.1,0.1,4.6,48%,2.2,0.7,13.5,14,12.7,2,13.1km,1.9,9.5,-,-,-,-
18101363,Oleg Cheprassov,28,82 kg,190 cm,,-,KAZ,2e Amateurklasse B,KSK Tongeren,N/A,-,ST (C),-,40,"2,852",84%,-,0.08,0.35,0.35,0.19,6%,0.03,16%,0.97,0.92,0.54,0.28,0,0.79,74%,0.5,0,0.03,11.3,38%,4.26,0.25,0.82,18.62,4.51,1.04,10.1km,1.1,4.58,-,-,-,-
88029669,Dhanush Chandra,24,68 kg,175 cm,,-,IND,UAE Third Division,TFA,N/A,-,D (L),-,43,"3,870",71%,0.12,0,0,0,-,-,0,23%,3.58,0.14,0,0.03,0,1.63,96%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
37028453,Kai Heerings,35,78 kg,191 cm,,-,NED,Hoofdklasse Zaterdag A,Ajax Amateurs,N/A,-,D (LC),-,43,"3,870",70%,0.12,0,0,0,-,-,0,53%,6.4,0.14,0,0.04,0,1.91,99%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
16023797,Stefan Stangl,33,78 kg,185 cm,,-,AUT,Gebietsliga Nord Nord West,USC Muckendorf/Zeiselm.,N/A,-,D (L),-,37,"3,330",67%,-,0.03,0,0,-,-,0,17%,0.41,0,0,0.02,0,1.73,97%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
12093901,Mahfou Kandé,27,83 kg,188 cm,,-,SEN,UAE Second Division League,Al-Ittifaq,N/A,-,AM (R),-,43,"3,870",62%,0.28,0.1,0,0,-,-,0,14%,5.06,1.56,0,0.35,0,1.02,60%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
67243428,Andreu Matos,29,70 kg,178 cm,,-,AND,Lliga Biosphere,FS Massana,N/A,-,ST (C),-,27,"2,430",58%,0.22,0.07,0,0,-,-,0,16%,2.71,0.96,0,0.34,0,0.85,82%,0,0,0,-,-,-,-,0,0,0,-,0.0km,0,0,-,-,-,-
