UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
67276122,Ansu Fati,30,66 kg,178 cm,,Hip injury,ESP,English Premier League,Man City,"€40,764,000 p/a",-,30/6/2035,"M (L), AM (RLC), ST (C)","M (L), AM (C)",30,"2,567",86%,0.28,0.17,2.98,1.23,0.53,20%,0.67,19%,3.5,1.05,0.39,0.88,0.26,0,4.9,2.63,88%,0.49,0,0,5.08,19%,0.98,0.35,6.1,14.23,10.69,3.58,13.4km,3.47,13.53,-,-,-,-,-,-,-
28122642,Bukayo Saka,31,69 kg,178 cm,,-,ENG,English Premier League,Arsenal,"€24,576,000 p/a",-,30/6/2035,"M (RC), AM (RL)",M (RC),42,"3,745",85%,0.26,0.27,2.84,1.51,0.82,18%,0.5,19%,0.43,0.94,0.36,0.7,0.24,0,11.04,2.69,85%,0.46,0.07,0,3.87,19%,0.72,0.12,7.16,15.04,13.27,2.69,13.9km,3.63,14.68,-,-,-,-,-,-,-
19302146,Vinícius Júnior,32,73 kg,177 cm,,-,BRA,LaLiga EA SPORTS,Real Madrid,"€32,893,000 p/a",-,30/6/2034,"M (L), AM (RL), ST (C)","M (L), AM (R), ST (C)",42,"3,745",85%,0.31,0.31,4.33,2.09,1.03,26%,1.25,28%,8.83,0.89,0.48,0.77,0.25,0,12.85,2.38,86%,0.34,0,0,3.32,19%,0.62,0.17,6.92,14.85,9.81,4.85,13.2km,3.53,12.98,-,-,-,-,-,-,-
2000049413,Gavi,28,71 kg,174 cm,,Pulled groin,ESP,LaLiga EA SPORTS,FC Barcelona,"€25,463,000 p/a",-,30/6/2036,"DM, M (C), AM (LC)","DM, AM (L)",28,"2,531",88%,0.5,0.31,4.41,2.13,1.1,22%,0.32,10%,-1.45,0.64,0.18,1,0.23,0,8.66,1.42,73%,0.14,0,0,2.52,24%,0.6,0.18,5.62,11.45,8.82,2.2,13.5km,2.81,11.52,-,-,-,-,-,-,-
28124579,Jamal Musiala,30,72 kg,184 cm,,-,GER,Bundesliga,Bayern Munich,"€25,699,000 p/a",-,30/6/2035,"M (C), AM (RLC), ST (C)","M (C), AM (R), ST (C)",31,"2,701",86%,0.37,0.29,4.07,2.03,1.1,29%,0.7,19%,4.03,1.03,0.4,0.97,0.24,0,8.77,2.83,88%,0.33,0.1,0,3.83,30%,1.17,0.4,6.36,15.49,9.06,3.8,13.1km,4,13.1,-,-,-,-,-,-,-
49039004,William Saliba,32,83 kg,192 cm,,Back strain,FRA,English Premier League,Arsenal,"€23,152,000 p/a",-,30/6/2035,D (RC),D (R),31,"2,911",94%,-,0.05,6.65,0.22,0.09,0%,0,-,-1.02,0.19,-,0,0.03,1,1.68,1.36,83%,1.14,0.28,0.74,6.43,75%,4.79,0.46,12.21,4.85,5.97,0.22,11.8km,1.14,3.28,-,-,-,-,-,-,-
29232937,Jude Bellingham,29,75 kg,186 cm,,-,ENG,LaLiga EA SPORTS,Real Madrid,"€44,358,000 p/a",-,30/6/2036,"DM, M/AM (C)","DM, AM (C)",37,"3,421",92%,0.37,0.18,6.34,0.92,0.58,25%,0.21,22%,4.08,0.97,0.37,0.95,0.16,0,6.89,1.66,72%,0.39,0.11,0.18,3.66,55%,2.03,0.26,8.34,8.71,9.1,1.34,13.8km,2.71,9.97,-,-,-,-,-,-,-
29179241,Erling Haaland,32,93 kg,195 cm,,-,NOR,English Premier League,Man City,"€39,894,000 p/a",-,30/6/2034,ST (C),-,49,"4,278",87%,0.11,0.1,0.55,0.74,0.38,14%,0.08,25%,11.27,2.06,0.9,0.63,0.57,0,4.61,0.69,65%,0.15,0,0.08,8.52,58%,4.9,0.11,4,6.63,3.66,0.86,12.5km,1.54,6.58,-,-,-,-,-,-,-
85139014,Kylian Mbappé,34,71 kg,178 cm,,-,FRA,Ligue 1 Uber Eats,PSG,"€29,696,000 p/a",-,30/6/2034,"AM (RL), ST (C)",AM (R),41,"3,690",84%,0.51,0.45,3.02,2.02,1.2,26%,0.88,24%,9.09,1.46,0.63,1.27,0.33,2,18.26,2,80%,0.39,0,0,3.76,24%,0.9,0.2,6.17,15.17,9.49,3.73,13.2km,4.07,12.51,-,-,-,-,-,-,-
2000131036,Rhys Owen,25,86 kg,190 cm,,-,WAL,Ligue 1 Uber Eats,PSG,"€18,812,000 p/a",-,30/6/2037,"D (RC), WB (R)",D/WB (R),40,"3,681",93%,-,0.04,7.19,0.34,0.05,8%,0.02,4%,-0.87,0.46,0.05,0.12,0.07,1,1.81,1.64,92%,0.66,0.17,0.83,8,80%,6.43,0.49,14.11,5.89,6.23,0.44,12.2km,1.61,4.91,-,-,-,-,-,-,-
