UID,Name,Age,Weight,Height,WR,Rc Injury,Nat,Division,Club,Wage,Asking Price,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Gls/90,Shots Outside Box/90,NP-xG/90,Gl Mst,xA,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90,Con/90,xSv %,Sv %
2002072261,Dylan Munro,23,73 kg,176 cm,,Pulled calf muscle,SCO,English Premier League,Burnley,"$1,593,000 p/a",-,30/6/2036,"AM (R), ST (C)",AM (R),5,582,90%,-,0.03,0.62,0.62,0.15,0%,0,6%,-1.1,2.16,0.31,1.55,0.48,0,0.18,0.93,75%,0.31,0,0,6.19,25%,1.55,0.15,1.08,22.73,6.19,1.08,12.0km,1.24,7.58,-,-,-,-,-,-,-
2002120060,Milan Petrović,24,83 kg,193 cm,,-,AUS,English Premier League,Watford,"$698,000 p/a",-,30/6/2037,"D (RC), WB (R)","D (C), WB (R)",15,"1,348",88%,0.07,0.02,5.07,1.47,0.07,8%,0.2,-,-0.55,0,-,0.07,0.04,0,0.29,2.6,81%,2.14,0.33,0.87,5.47,51%,2.8,0.47,8.28,19.16,13.95,0.4,12.9km,2.94,8.01,-,-,-,-,-,-,-
61083649,Nathan Patterson,30,74 kg,183 cm,,-,SCO,English Premier League,Arsenal,"$8,496,000 p/a",-,30/6/2033,"D (RLC), WB (R)",D (LC),19,"2,032",90%,0.09,0.09,7.8,0.97,0.44,7%,0.13,7%,-0.12,0.09,0.04,0.22,0.05,0,1.98,2.39,76%,1.24,0.22,0.4,5.36,47%,2.52,0.8,12.71,12.8,14.39,1.37,12.5km,2.39,8.99,-,-,-,-,-,-,-
29125343,Scott McTominay,35,86 kg,193 cm,,-,SCO,English Premier League,Brighton,"$3,560,000 p/a",-,30/6/2033,"DM, M/AM (C)","DM, AM (C)",3,563,86%,-,0.07,3.52,0.96,0.16,40%,0.32,-,-1.48,0.32,-,0.8,0.24,0,0.42,2.56,94%,0.16,0,0.48,4.32,41%,1.76,-,10.23,12.95,12.63,0.32,12.3km,3.2,11.83,-,-,-,-,-,-,-
2000164850,Ben Doak,26,80 kg,174 cm,,-,SCO,English Premier League,Chelsea,"$12,731,000 p/a",$22.5M,30/6/2035,"M (R), AM (RL)",AM (L),6,918,86%,0.49,0.26,3.43,2.06,0.88,14%,0.49,11%,-0.93,0.78,0.29,0.78,0.39,0,2.68,1.76,67%,0.69,0,0,3.63,14%,0.49,-,4.02,20.98,13.04,3.73,11.6km,3.73,13.14,-,-,-,-,-,-,-
2002072349,Reece Strang,24,76 kg,181 cm,,-,SCO,English Premier League,Newcastle Utd,"$4,120,000 p/a",-,30/6/2035,D (C),-,11,"1,136",90%,0.16,0.11,6.1,0.55,0.16,33%,0.16,-,-0.68,0.16,-,0.16,0.05,0,1.45,0.71,56%,0.79,0.32,0.71,7.61,63%,4.75,0.55,14.66,4.2,7.45,0.55,12.1km,1.11,2.85,-,-,-,-,-,-,-
43616542,Stiven Shpendi,29,67 kg,181 cm,,-,ALB,English Premier League,Leicester,"$5,305,000 p/a",-,30/6/2034,"AM (RLC), ST (C)",-,31,"2,521",86%,0.11,0.09,2.14,1.11,0.18,5%,0.11,11%,1.4,1.36,0.29,1.07,0.24,0,2.64,2.14,81%,0.54,0,0.07,5.6,29%,1.61,0.32,3.78,20.81,11.82,2.03,12.2km,3.64,11.42,-,-,-,-,-,-,-
2002072948,Keir Barker,24,70 kg,173 cm,,-,SCO,English Premier League,Everton,"$2,078,000 p/a",$13.5M,30/6/2034,"AM (RC), ST (C)",AM (RC),5,"1,055",87%,-,0.04,1.11,0.85,-,25%,0.09,11%,-0.05,1.71,0.43,1.19,0.43,0,0.43,1.62,86%,0.43,0,0.09,5.97,13%,0.77,0.09,1.19,22.61,5.97,1.45,12.5km,1.79,7.42,-,-,-,-,-,-,-
2002123295,Alex Boyd,23,64 kg,159 cm,,-,ENG,English Premier League,West Ham,"$9,610,000 p/a",-,30/6/2037,"M (LC), AM (RLC)","M (L), AM (RL)",48,"3,996",86%,0.25,0.16,2.61,1.67,0.27,19%,0.16,12%,-0.83,0.99,0.23,0.65,0.24,0,7.12,2.09,84%,0.65,0.05,0.02,4.23,24%,1.01,0.23,14.03,11.49,14.1,2.12,13.4km,2.84,10.54,-,-,-,-,-,-,-
61093554,Josh Mulligan,29,78 kg,181 cm,,-,SCO,English Premier League,Watford,"$1,562,000 p/a",-,30/6/2035,"WB (RL), M (RC)","WB (L), M (C)",7,760,83%,0.12,0.14,2.96,1.3,0.47,12%,0.47,-,-0.54,0,-,0.12,0.06,0,1.16,4.14,90%,1.18,0,0.12,4.26,56%,2.37,0.36,4.38,15.16,19.07,2.84,13.3km,4.97,14.33,-,-,-,-,-,-,-
