name,uid,tackleRating,headersWonRatio,progressivePassesPer90,badges,ratingScores
Rhys Owen,2000131036,94.07,92.54,88.62,aggressor;spreader,{"aggressor":93;"spreader":89}
Joško Gvardiol,24060473,87.48,82.29,63.85,aggressor,{"aggressor":85}
Nuno Mendes,83261910,66.78,19.17,99.13,spreader,{"spreader":99}
Ronald Araujo,78085068,91.81,55.86,93.68,spreader,{"spreader":94}
Cristian Romero,14130029,60.79,82.29,37.95,,{}
Rúben Dias,55070299,18.71,48.27,29.29,,{}
Levi Colwill,28124573,53.73,55.86,39.61,,{}
Giorgio Scalvini,43500755,60.79,48.27,66.84,,{}
Alan Petterson,2002074491,90.08,36.28,96.27,spreader,{"spreader":96}
Reece James,28108035,22.97,7.86,52,,{}
Jorrel Hato,2000105654,33.29,42.08,89.75,spreader,{"spreader":90}
Marc Guéhi,28108033,66.78,39.08,36.28,,{}
Ousmane Diomande,2000160511,60.79,84.62,98.34,spreader,{"spreader":98}
Jurriën Timber,37063644,39.21,12.58,78.1,spreader,{"spreader":78}
Jules Koundé,48036304,53.73,51.86,95.14,spreader,{"spreader":95}
Sven Botman,37063649,39.21,30.03,78.1,spreader,{"spreader":78}
Piero Hincapié,86066853,82.16,39.08,79.36,spreader,{"spreader":79}
Nico Schlotterbeck,92088306,60.79,84.62,75.57,spreader,{"spreader":76}
Ibrahima Konaté,48037822,33.29,99.6,58.66,,{}
Micky van de Ven,37084591,39.21,65.05,84.29,spreader,{"spreader":84}
Gonçalo Inácio,83228731,39.21,84.62,96.6,spreader,{"spreader":97}
Filippo Mané,2000121585,82.16,82.29,97.27,aggressor;spreader,{"aggressor":82;"spreader":97}
Willian Pacho,86075795,7.39,42.08,79.63,spreader,{"spreader":80}
António Silva,83320135,9.72,68.64,68.51,,{}
Castello Lukeba,49056273,53.73,45.07,31.29,,{}
Vinicius,2002119900,76.43,82.29,67.24,aggressor,{"aggressor":79}
Jakub Kiwior,96102946,28.1,79.43,82.82,spreader,{"spreader":83}
Lorenzo Pirola,43425720,12.05,68.64,63.38,,{}
Tanguy Nianzou,49048365,28.1,76.23,30.83,,{}
Dayot Upamecano,16182894,28.1,39.08,61.85,,{}
Cristhian Mosquera,2000030816,60.79,65.05,88.88,spreader,{"spreader":89}
Benjamin White,29141472,46.27,25.1,81.36,spreader,{"spreader":81}
Ibrahima Bamba,2000052247,33.29,36.28,87.28,spreader,{"spreader":87}
Roger Ibañez,19337893,2.06,90.48,59.79,,{}
Pau Torres,67217522,3.26,48.27,57.79,,{}
Javlon Clement-Peter,2002075095,66.78,79.43,99.8,spreader,{"spreader":100}
Illia Zabarnyi,71113679,4.53,51.86,13.65,,{}
Josip Šutalo,24058106,46.27,60.59,17.24,,{}
Takehiro Tomiyasu,45095490,66.78,27.3,48.07,,{}
Eric García,28116427,12.05,36.28,52,,{}
Victor Kristiansen,27161400,60.79,72.44,44.61,,{}
Kauê,2002120044,22.97,76.23,95.27,spreader,{"spreader":95}
Flavien-Enzo Boyomo,29219115,39.21,21.17,43.61,,{}
Trevoh Chalobah,28103591,46.27,51.86,37.22,,{}
Anel Ahmedhodžić,93064994,18.71,84.62,22.44,,{}
Natan,19351985,79.29,36.28,64.91,,{}
Perr Schuurs,37062161,46.27,51.86,96.07,spreader,{"spreader":96}
Andrew Omobamidele,29218111,28.1,82.29,92.34,spreader,{"spreader":92}
David Carmo,83111598,1.33,60.59,41.94,,{}
Jean-Clair Todibo,48044499,33.29,68.64,51.07,,{}
Nicolás Valentini,14241918,15.18,39.08,26.17,,{}
Nathan Collins,28117372,53.73,48.27,85.82,spreader,{"spreader":86}
Flavius Daniliuc,91172522,46.27,65.05,66.44,,{}
Wesley Fofana,49037900,46.27,55.86,27.23,,{}
