name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,chancesCreated,npXG,badges,ratingScores
Bukayo Saka,28122642,82.7,86.05,35.91,5.18,18.1,87.5,94.03,88.48,advanced playmaker,{"advanced playmaker":90}
Jamal Musiala,28124579,92.58,92.63,24.49,2.19,40.35,97.95,99.16,88.48,advanced playmaker,{"advanced playmaker":95}
Jude Bellingham,29232937,45.24,18.98,56.2,47.99,82.14,53.96,81.06,71.83,,{}
Eduardo Camavinga,49056243,58.72,23.27,74.39,61.99,92.21,71.92,57.65,74.21,,{}
Moisés Caicedo,86078360,50.65,28.17,43.75,62.59,51.91,56.53,68.8,42.77,,{}
Joško Gvardiol,24060473,14.69,92.63,97.43,98.65,70.06,24.67,23.46,31.67,,{}
Pedri,67293495,89.83,23.27,13.06,11.52,77.94,93.8,95.24,85.96,advanced playmaker,{"advanced playmaker":92}
Assan Ouédraogo,2000188173,66.23,44.22,23.37,21.6,18.94,87.97,92.35,99.58,advanced playmaker,{"advanced playmaker":93}
Martin Ødegaard,53095137,63.29,38.15,13.99,4.15,58.82,89.46,91.09,79.52,advanced playmaker,{"advanced playmaker":87}
João Neves,2000030130,70.71,75.09,47.9,54.9,63.53,70.48,73.74,66.51,,{}
Phil Foden,28108494,83.21,69.96,25,13.2,10.82,50.47,83.77,85.96,,{}
Ronald Araujo,78085068,12.17,95.34,97.62,98.55,93.8,25.14,31.06,42.77,,{}
Pape Matar Sarr,12080051,76.68,28.17,46.74,35.07,52.43,77.1,85.21,74.21,advanced playmaker,{"advanced playmaker":79}
Estêvão,2000263999,26.31,2.71,7.32,33.02,8.26,66.51,75.09,99.81,,{}
Kendry Páez,2000252303,75.84,82.93,45.66,3.22,48.51,99.49,99.58,99.58,advanced playmaker,{"advanced playmaker":100}
Enzo Fernández,14229525,60.17,15.95,39.46,42.49,51.07,62.73,41.93,47.9,,{}
Arda Güler,2000077193,99.86,88.81,13.67,0.05,49.25,99.16,99.86,81.95,advanced playmaker,{"advanced playmaker":94}
Eliesse Ben Seghir,2000104892,74.39,12.27,10.45,2.05,74.25,94.03,96.08,93.7,advanced playmaker,{"advanced playmaker":95}
Giorgio Scalvini,43500755,10.82,69.96,92.07,98.46,72.76,10.73,16.84,5.83,,{}
Sandro Tonali,43298481,47.67,12.27,42.54,22.57,80.83,99.58,99.16,60.21,,{}
Jorrel Hato,2000105654,35.35,44.22,85.17,58.07,90.86,31.11,32.7,31.67,,{}
Marc Guéhi,28108033,12.73,75.09,84.84,95.57,48.51,16.42,8.86,16.98,,{}
Dijon Kameri,16337074,80.41,23.27,54.38,30.04,73.55,88.34,86.57,63.39,,{}
Ousmane Diomande,2000160511,34.56,69.96,98.27,97.62,98.46,48.41,59.19,52.52,,{}
Florian Wirtz,91193048,54.43,79.29,13.2,9.28,22.01,93.7,83.77,84.19,advanced playmaker,{"advanced playmaker":87}
Federico Valverde,78074594,87.73,44.22,24.63,4.34,20.52,89.93,97.9,76.73,advanced playmaker,{"advanced playmaker":88}
Vitinha,83174762,45.71,7,36.33,27.94,72.2,92.35,94.36,98.55,advanced playmaker,{"advanced playmaker":95}
Jurriën Timber,37063644,25.33,50.7,57.51,81.11,81.9,17.44,38.53,24.21,,{}
Carlos Baleba,2000166563,57.84,57.65,34.38,31.39,39.65,92.16,92.35,84.19,advanced playmaker,{"advanced playmaker":90}
Trent Alexander-Arnold,28104124,36.94,82.93,85.17,67.12,95.43,53.31,82.98,24.21,,{}
Kenneth Taylor,37073317,87.97,15.95,48.23,47.71,94.73,43,53.03,47.9,,{}
Xavi Simons,67288555,72.43,5.27,8.72,5.74,30.27,77.89,84.65,71.83,advanced playmaker,{"advanced playmaker":78}
Sven Botman,37063649,11.8,50.7,82.18,95.76,81.9,33.07,21.83,31.67,,{}
Javi Guerra,2000034344,75.84,69.96,52.43,27.01,67.68,72.29,81.06,87.13,advanced playmaker,{"advanced playmaker":80}
Piero Hincapié,86066853,18.66,88.81,86.15,93.89,82.84,28.22,27.15,16.98,,{}
Nico Schlotterbeck,92088306,29.01,69.96,86.89,66.32,79.15,56.53,57.65,31.67,,{}
Ibrahima Konaté,48037822,9.65,44.22,87.87,92.58,66.18,10.73,31.06,10.91,,{}
