name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,passesPercent,badges,ratingScores
Bukayo Saka,28122642,82.7,86.05,35.91,5.18,18.1,87.5,22.67,,{}
Jamal Musiala,28124579,92.58,92.63,24.49,2.19,40.35,97.95,29.38,,{}
Jude Bellingham,29232937,45.24,18.98,56.2,47.99,82.14,53.96,83.96,,{}
Eduardo Camavinga,49056243,58.72,23.27,74.39,61.99,92.21,71.92,65.53,,{}
Moisés Caicedo,86078360,50.65,28.17,43.75,62.59,51.91,56.53,75.7,,{}
Joško Gvardiol,24060473,14.69,92.63,97.43,98.65,70.06,24.67,94.4,anchor,{"anchor":88}
Pedri,67293495,89.83,23.27,13.06,11.52,77.94,93.8,36.99,,{}
Assan Ouédraogo,2000188173,66.23,44.22,23.37,21.6,18.94,87.97,45.76,,{}
Martin Ødegaard,53095137,63.29,38.15,13.99,4.15,58.82,89.46,29.38,,{}
João Neves,2000030130,70.71,75.09,47.9,54.9,63.53,70.48,83.96,,{}
Phil Foden,28108494,83.21,69.96,25,13.2,10.82,50.47,22.67,,{}
Ronald Araujo,78085068,12.17,95.34,97.62,98.55,93.8,25.14,94.4,anchor,{"anchor":96}
Pape Matar Sarr,12080051,76.68,28.17,46.74,35.07,52.43,77.1,55.55,,{}
Estêvão,2000263999,26.31,2.71,7.32,33.02,8.26,66.51,45.76,,{}
Kendry Páez,2000252303,75.84,82.93,45.66,3.22,48.51,99.49,8.63,,{}
Enzo Fernández,14229525,60.17,15.95,39.46,42.49,51.07,62.73,65.53,,{}
Arda Güler,2000077193,99.86,88.81,13.67,0.05,49.25,99.16,17.3,,{}
Eliesse Ben Seghir,2000104892,74.39,12.27,10.45,2.05,74.25,94.03,36.99,,{}
Giorgio Scalvini,43500755,10.82,69.96,92.07,98.46,72.76,10.73,97.99,anchor,{"anchor":90}
Sandro Tonali,43298481,47.67,12.27,42.54,22.57,80.83,99.58,45.76,,{}
Jorrel Hato,2000105654,35.35,44.22,85.17,58.07,90.86,31.11,75.7,,{}
Marc Guéhi,28108033,12.73,75.09,84.84,95.57,48.51,16.42,94.4,,{}
Dijon Kameri,16337074,80.41,23.27,54.38,30.04,73.55,88.34,55.55,,{}
Ousmane Diomande,2000160511,34.56,69.96,98.27,97.62,98.46,48.41,89.74,anchor,{"anchor":95}
Florian Wirtz,91193048,54.43,79.29,13.2,9.28,22.01,93.7,17.3,,{}
Federico Valverde,78074594,87.73,44.22,24.63,4.34,20.52,89.93,36.99,,{}
Vitinha,83174762,45.71,7,36.33,27.94,72.2,92.35,45.76,,{}
Jurriën Timber,37063644,25.33,50.7,57.51,81.11,81.9,17.44,94.4,anchor,{"anchor":86}
Carlos Baleba,2000166563,57.84,57.65,34.38,31.39,39.65,92.16,55.55,,{}
Trent Alexander-Arnold,28104124,36.94,82.93,85.17,67.12,95.43,53.31,75.7,,{}
Kenneth Taylor,37073317,87.97,15.95,48.23,47.71,94.73,43,75.7,,{}
Xavi Simons,67288555,72.43,5.27,8.72,5.74,30.27,77.89,17.3,,{}
Sven Botman,37063649,11.8,50.7,82.18,95.76,81.9,33.07,99.72,anchor,{"anchor":92}
Javi Guerra,2000034344,75.84,69.96,52.43,27.01,67.68,72.29,36.99,,{}
Piero Hincapié,86066853,18.66,88.81,86.15,93.89,82.84,28.22,94.4,anchor,{"anchor":90}
Nico Schlotterbeck,92088306,29.01,69.96,86.89,66.32,79.15,56.53,65.53,,{}
Ibrahima Konaté,48037822,9.65,44.22,87.87,92.58,66.18,10.73,94.4,,{}
Alex Scott,95079228,62.64,23.27,28.68,28.68,55.92,88.9,45.76,,{}
Christopher Nkunku,85140301,27.38,1.35,5.55,0.79,10.45,65.21,29.38,,{}
Jacob Ramsey,29193659,75.33,38.15,88.01,56.11,55.92,82.04,17.3,,{}
Micky van de Ven,37084591,72.43,50.7,97.53,87.17,86.47,63.25,75.7,anchor,{"anchor":83}
Khephren Thuram,49038952,56.3,79.29,50.28,41.74,81.16,91.28,65.53,,{}
Bruno Guimarães,19297055,57.28,8.96,32.84,41.93,75.65,97.71,45.76,,{}
Elliot Anderson,28127254,98.65,44.22,18.42,16.04,32.84,65.21,36.99,,{}
Paul Wanner,2000138516,88.29,44.22,34.75,12.92,63.15,82.46,36.99,,{}
Roméo Lavia,18115012,55.92,23.27,29.71,48.41,79.76,70.48,75.7,,{}
Filippo Mané,2000121585,28.5,88.81,98.74,99.02,97.53,29.94,89.74,anchor,{"anchor":95}
Willian Pacho,86075795,12.17,12.27,95.48,98.93,83.12,25.56,97.99,anchor,{"anchor":93}
Warren Zaïre-Emery,2000179712,85.63,38.15,53.26,48.79,66.74,59.75,45.76,,{}
Yunus Musah,28129089,71.27,38.15,50.65,51.26,61.47,77.1,55.55,,{}
Nicolas Louis,2002074395,89.83,38.15,15.95,20.76,48.88,79.48,65.53,,{}
Lucas Gourna-Douath,49056367,57.84,57.65,70.94,70.15,88.48,61.33,65.53,,{}
Castello Lukeba,49056273,17.07,64.18,79.34,95.85,44.54,8.3,89.74,,{}
Nicolas Seiwald,16191724,80.41,32.84,52.8,42.26,75.51,90.95,55.55,,{}
Noah Darvich,2000257651,97.71,88.81,34.61,1.17,32.37,91.98,10.35,,{}
Mason Mount,28103590,60.63,69.96,39.46,25.23,19.59,61.33,45.76,,{}
Oscar Gloukh,2000065061,61.38,32.84,17.86,20.38,45.24,93.38,65.53,,{}
Fabian Rieder,84152512,87.59,23.27,16.56,10.21,51.59,91.98,29.38,,{}
Mohammed Kudus,13200568,26.49,64.18,6.39,10.31,10.17,57.74,22.67,,{}
Heorhii Sudakov,71108249,64.88,28.17,21.78,27.75,74.25,76.31,45.76,,{}
Mohamed Chawki,2000047315,41.23,69.96,33.3,23.09,82.14,75.65,45.76,,{}
Antony,19338230,86.47,64.18,19.78,2.94,28.59,89.93,29.38,,{}
Jakub Kiwior,96102946,9.28,38.15,76.63,91.37,85.49,33.07,97.99,anchor,{"anchor":92}
Tanguy Nianzou,49048365,20.52,38.15,96.41,98.27,44.03,9.84,83.96,,{}
Dayot Upamecano,16182894,11.8,38.15,82.88,92.68,68.47,16.84,97.99,,{}
