name,uid,posessionWonPer90,tackleRating,headersWonRatio,keyPasses,openCrossesRatio,openSucessfullCrosses90,sprints,dribbles,badges,ratingScores
Eduardo Camavinga,49056243,22.21,8.48,29.51,86.16,90.34,61.05,61.48,71.78,,{}
Joško Gvardiol,24060473,77.25,88.2,89.27,35.3,52.15,25.54,31.65,35.41,wide defender,{"wide defender":85}
Nuno Mendes,83261910,92.81,53.76,39.16,85.52,93.45,75.75,44.1,90.45,,{}
Levi Colwill,28124573,45.17,37.88,69.53,27.68,97,40.67,10.19,26.93,,{}
Alan Petterson,2002074491,70.82,91.09,53.65,71.78,73.71,73.28,45.6,69.85,,{}
Jorrel Hato,2000105654,39.06,19.74,58.69,47,14.7,38.63,48.61,49.25,,{}
Marc Guéhi,28108033,38.52,53.76,56.33,20.06,6.65,7.08,15.13,17.49,,{}
Jurriën Timber,37063644,13.2,24.36,30.9,22.1,61.7,43.03,16.2,18.35,,{}
Sven Botman,37063649,33.37,24.36,49.14,48.82,6.65,7.08,33.58,8.05,,{}
Piero Hincapié,86066853,40.67,79.61,56.33,41.31,73.71,31.12,17.7,36.37,,{}
Nico Schlotterbeck,92088306,41.52,46.24,91.31,75.11,31.97,56.33,48.18,54.72,,{}
Miloš Kerkez,2000011147,56.01,62.12,36.91,95.06,61.7,97.53,95.82,99.46,,{}
Jeremie Frimpong,28113828,50.21,75.21,12.23,77.36,65.56,50.86,57.51,97.32,,{}
Micky van de Ven,37084591,77.79,24.36,76.18,80.26,69.64,45.39,56.12,75.86,,{}
Alphonso Davies,20041862,89.27,62.12,58.69,72.53,61.7,38.63,46.46,98.28,,{}
Gonçalo Inácio,83228731,85.3,24.36,91.31,34.23,47.75,23.71,19.21,26.93,,{}
Castello Lukeba,49056273,26.29,37.88,61.27,9.98,84.66,14.38,7.73,2.36,,{}
Vinicius,2002119900,84.66,69.85,89.27,20.06,90.34,33.05,18.78,40.77,,{}
Tomos Cartwright,2002074503,92.38,30.04,64.06,89.91,56.87,91.42,86.8,94.31,,{}
Jakub Kiwior,96102946,23.71,16.09,87.23,48.82,84.66,28.97,18.45,31.76,,{}
Fabiano Parisi,43429372,79.83,62.12,27.15,90.24,47.75,84.87,90.02,97.96,,{}
Theo Hernández,67211695,89.27,53.76,39.16,75.64,41.63,84.33,66.09,87.12,,{}
Lorenzo Pirola,43425720,39.48,6.44,79.51,26.82,94.96,34.87,20.71,19.85,,{}
Tino Livramento,28124569,84.01,30.04,56.33,72.53,31.97,52.25,74.68,64.48,,{}
Amar Dedić,16283629,90.24,69.85,64.06,44.85,89.38,49.03,25.64,53.22,,{}
Javlon Clement-Peter,2002075095,99.46,53.76,87.23,44.85,25.86,31.12,26.82,51.61,,{}
Takehiro Tomiyasu,45095490,56.33,53.76,46.89,67.38,14.7,36.48,72.21,74.68,,{}
Nicola Zalewski,43426126,7.83,53.76,2.68,92.38,52.15,86.48,73.61,95.39,,{}
Victor Kristiansen,27161400,96.46,46.24,81.97,83.69,28.76,85.52,78.22,61.8,,{}
Jesús Vázquez,95078288,88.41,53.76,72.53,82.19,73.71,66.95,56.76,84.87,,{}
Simone Repossi,2002073451,57.51,69.85,79.51,91.31,52.15,93.56,57.51,90.13,,{}
Nicolás Valentini,14241918,36.37,8.48,56.33,25.11,61.7,20.39,22.42,9.98,,{}
Flavius Daniliuc,91172522,87.02,30.04,76.18,59.98,84.66,86.16,60.41,64.06,,{}
Callum Doyle,2000036812,77.25,62.12,79.51,52.58,52.15,20.39,55.9,67.7,,{}
Josip Stanišić,91190673,52.79,62.12,72.53,48.82,35.94,25.54,53.22,44.42,,{}
Destiny Udogie,43426047,94.42,79.61,89.27,43.67,41.63,40.67,64.27,84.23,wide defender,{"wide defender":88}
Max Aarons,29173977,38.52,24.36,18.88,43.67,41.63,65.99,73.93,78.54,,{}
Marc Cucurella,67215284,41.85,46.24,21.89,79.61,69.64,36.48,70.39,47.75,,{}
Jakub Kamiński,96121228,7.19,46.24,3.22,86.8,88.2,90.56,59.12,92.81,,{}
Vanderlan,19398966,78.76,46.24,97.42,64.27,79.4,73.28,62.12,88.09,,{}
Jan Divíšek,37084936,96.67,24.36,53.65,90.67,56.87,90.02,97.75,86.16,,{}
Tom Rothe,2000146948,78.33,37.88,69.53,96.35,56.87,98.82,78,81.76,,{}
Evan N'Dicka,48032198,36.37,46.24,53.65,38.2,6.65,7.08,33.05,23.82,,{}
Tyrick Mitchell,28111507,52.25,53.76,17.49,63.41,65.56,58.48,59.44,65.88,,{}
Elias Jelert,27161401,46.78,75.21,11.48,80.26,88.2,65.99,66.42,87.55,,{}
Pascal Struijk,37059452,63.95,91.09,66.85,33.26,69.64,49.03,42.38,46.57,,{}
Branislav Vlajić,2002075679,95.92,19.74,66.85,81.12,56.87,90.02,92.6,91.31,,{}
Rayan Aït-Nouri,49047581,33.8,37.88,43.03,79.18,84.66,90.99,67.7,68.67,,{}
Diogo Dalot,83105845,56.01,62.12,66.85,66.42,41.63,62.88,91.09,49.25,,{}
Wassim,2002124575,62.23,69.85,6.65,41.31,41.63,33.05,33.8,64.48,,{}
Kristoffer Lund,27139789,99.89,53.76,87.23,78.54,56.87,83.58,99.03,81.44,,{}
Malang Sarr,48036830,74.36,62.12,34.87,59.98,56.87,31.12,55.04,71.14,,{}
Michael Kayode,2000023588,79.83,53.76,32.83,94.42,31.97,91.85,97.96,96.89,,{}
Alessandro Buongiorno,43270682,55.26,24.36,72.53,14.16,41.63,15.67,12.77,12.12,,{}
Joe Scally,72051619,94.96,62.12,81.97,70.17,56.87,80.26,82.08,73.07,,{}
Colin Penot,2002123982,92.6,37.88,91.31,67.38,95.71,58.48,35.3,47.53,,{}
Thierry Rendall Correia,83111501,97.1,37.88,79.51,93.03,56.87,88.52,99.46,79.61,,{}
Murillo,2000123482,76.5,12.98,76.18,31.65,41.63,36.48,36.16,43.03,,{}
Mads Møller,2002072806,89.59,79.61,58.69,84.55,73.71,43.03,59.98,65.13,,{}
Omar Campos,2000030216,88.73,16.09,51.29,76.82,47.75,79.29,60.94,72.64,,{}
Quilindschy Hartman,37071180,88.41,84.33,61.27,70.49,88.2,79.29,47.32,54.18,,{}
José Marsà,67279755,37.88,24.36,58.69,65.24,56.87,25.54,27.58,44.42,,{}
Rico Lewis,2000098727,65.34,53.76,12.23,65.24,65.56,47.1,53.54,86.7,,{}
Kazımcan Karataş,70131625,93.88,46.24,87.23,63.41,41.63,81.12,94.85,81.12,,{}
Ferdi Kadıoğlu,37060600,76.07,6.44,17.49,96.89,47.75,90.56,95.17,87.12,,{}
Chris Richards,72051563,29.29,12.98,66.85,43.67,31.97,43.03,37.45,46.03,,{}
Prince Aning,2000013543,82.08,79.61,28.33,89.59,69.64,87.23,62.98,79.18,,{}
Marcus Holmgren Pedersen,53161610,64.91,37.88,76.18,85.52,73.71,96.14,99.89,83.69,wing back,{"wing back":88}
