name,uid,conv,shots90,goals90,pressures,tackles90,xA,chancesCreated90,headersWonRatio,drbls,keyPasses,badges
Daniel,2002152995,49.47,68.72,75.13,45.19,62.3,72.73,76.2,97.86,81.55,73.8,creator;target forward;adwanced forward
Junior Kroupi,2000181790,67.11,6.68,31.02,20.05,44.65,68.18,66.31,97.86,34.76,86.9,target forward
Michael Kayembe,2002133481,87.43,52.14,83.42,14.71,74.06,28.61,41.71,97.86,52.94,43.05,target forward
Loïc Colot,2002072785,34.49,96.79,86.63,33.42,26.47,12.83,6.68,97.86,56.68,13.1,target forward
Junior Adamu,16202374,62.03,83.42,87.43,77.81,40.37,64.97,70.05,97.86,40.64,67.65,target forward
Eddie Salcedo,43372893,85.29,52.14,60.16,22.19,29.68,2.94,15.51,97.86,17.11,11.76,target forward
Lino Decresson,2000254421,74.06,77.81,91.44,0.8,1.34,28.61,20.05,97.86,4.01,0.27,goalscorer;target forward
Daniel Pitchford,2000100674,45.19,25.13,48.66,77.27,82.89,72.73,76.2,97.86,50.53,73.8,pressing forward;creator;target forward
George Ilenikhena,2000214136,39.04,97.59,86.63,25.13,78.07,60.96,29.95,92.51,54.28,39.3,target forward
Ermedin Demirović,91158071,77.81,39.04,36.36,84.76,94.65,7.75,16.84,92.51,44.65,20.32,pressing forward;target forward
Mohamed Salah El Boukammiri,2000204002,55.35,86.1,72.73,16.31,35.83,43.58,51.87,92.51,24.6,48.93,target forward
Graham Conway,2000033302,74.06,88.5,89.04,29.14,26.47,7.75,27.54,92.51,27.81,15.24,goalscorer;target forward
Pedro Campos,2002074964,67.11,69.79,78.34,47.06,40.37,77.54,72.19,92.51,88.24,62.57,creator;target forward
Gregory Jansen,2002104182,70.32,44.65,52.41,53.48,14.17,83.42,70.05,92.51,29.14,85.56,creator;target forward
Muharem Huskovic,16283572,87.43,79.95,93.32,7.75,62.3,43.58,41.71,92.51,9.89,23.26,goalscorer;target forward
Tzalo,2000292832,39.04,63.9,45.99,21.39,44.65,51.07,37.97,92.51,63.9,14.44,target forward
Christian Rasmussen,27148085,67.11,44.65,52.41,49.73,52.67,51.07,65.24,92.51,41.71,36.1,target forward
César Martínez,2002135327,29.68,44.65,31.02,36.63,16.58,51.07,49.2,92.51,36.36,45.19,target forward
Vando Alago,2000024027,39.04,63.9,48.66,9.63,19.52,7.75,6.68,92.51,13.9,7.75,target forward
João Maca,2002075331,5.61,37.97,19.52,51.07,10.43,43.58,46.52,92.51,65.24,54.55,target forward
Fabrice Ngoy,18116155,62.03,31.02,56.15,8.29,68.45,35.83,49.2,86.9,8.29,60.96,target forward
Adyson,2000158452,1.34,26.74,1.34,99.2,32.09,95.45,96.52,86.9,98.66,96.26,creator;target forward;adwanced forward
Ángel Manuel Fernández Iglesias,2002124291,10.16,99.2,37.97,2.94,3.48,16.84,4.55,86.9,1.34,2.94,target forward
Ousmane Bakayoko,2002154333,62.03,99.73,78.34,69.52,91.44,80.75,95.99,86.9,11.5,88.5,creator;target forward
Jerónimo Domina,2000166219,29.68,8.82,18.18,78.34,44.65,28.61,20.05,86.9,86.63,71.93,target forward;adwanced forward
Enzo Molebe,2000288922,29.68,56.42,37.97,64.17,10.43,92.78,83.96,86.9,85.83,79.68,creator;target forward;adwanced forward
Ruud Versendaal,2002073391,82.35,54.01,65.51,39.84,56.95,35.83,41.71,86.9,44.12,59.09,target forward
Ryan Francisco,2000263566,87.43,78.88,87.97,23.8,2.94,60.96,68.18,86.9,36.36,33.16,goalscorer;target forward
Rodrygo,19306929,62.03,81.82,69.25,91.18,49.2,97.86,95.45,86.9,93.32,92.25,creator;target forward;adwanced forward
Jon Karrikaburu,2000082463,34.49,40.37,41.71,20.59,10.43,21.93,11.5,81.02,10.43,13.1,target forward
João Santos,2000244088,70.32,76.47,83.42,47.06,19.52,68.18,49.2,81.02,24.6,68.45,goalscorer;target forward
Marcos Leonardo,19380666,49.47,66.84,60.96,25.94,68.45,35.83,27.54,81.02,23.26,34.76,target forward
Yuri Alberto,19326424,93.58,98.13,99.73,59.63,87.7,28.61,66.31,81.02,18.45,60.96,goalscorer;target forward
Jorge,2002120795,55.35,87.97,69.25,45.19,35.83,12.83,20.05,81.02,71.12,6.95,target forward
Gino Albertengo,14257069,70.32,87.17,88.5,60.7,40.37,16.84,11.5,81.02,8.82,8.82,goalscorer;target forward
Thomas Lind,2002144221,55.35,40.37,41.71,61.5,87.7,51.07,39.84,81.02,42.78,52.94,target forward
Jonathan David,18108540,49.47,60.43,67.38,21.39,26.47,28.61,43.32,81.02,71.93,24.33,target forward
Romain Legendre,2002072876,45.19,89.57,78.34,24.33,22.99,35.83,4.55,81.02,38.24,16.31,target forward
Arnaud Kalimuendo,49048445,77.81,92.51,92.51,49.73,93.58,21.93,27.54,81.02,54.28,55.88,goalscorer;target forward
Dadá,2002162483,82.35,33.16,56.15,13.64,7.22,16.84,24.87,81.02,14.71,47.06,target forward
Mario Barlocco,2000278405,13.1,17.11,5.88,99.73,68.45,86.9,90.91,81.02,90.64,89.3,creator;target forward;adwanced forward
Timur Kuz'min,2002074732,4.01,6.68,3.48,26.47,91.44,77.54,59.36,81.02,72.46,60.96,target forward
Younes Mokhtari,37079431,34.49,90.64,65.51,3.48,35.83,43.58,11.5,74.6,2.67,8.82,target forward
Sergio Camello,67272502,19.52,13.1,16.31,86.9,19.52,60.96,79.14,74.6,10.96,76.47,target forward
Hakim Sahabo,2000208403,4.01,80.75,11.5,5.08,29.68,21.93,4.55,74.6,20.59,28.34,target forward
Enrico Lazzeri,2000069825,19.52,35.29,28.34,15.51,29.68,35.83,35.29,74.6,61.23,40.64,target forward
Anderson Niangbo,13136663,10.16,90.64,33.16,0.27,0.8,35.83,8.29,74.6,0.8,2.41,target forward
Antoine Semenyo,29194724,19.52,0.27,5.88,94.39,82.89,12.83,35.29,74.6,69.25,57.75,pressing forward;target forward
Giacomo Quaranta,2002133750,87.43,20.86,43.85,54.28,68.45,28.61,27.54,74.6,83.69,50.27,target forward
Armin Hartzell,2002074593,4.01,4.55,4.28,32.09,78.07,68.18,68.18,74.6,45.72,71.39,target forward
Abbévi Bissirou,2002075511,65.51,66.84,78.34,27.54,56.95,86.9,91.71,74.6,62.83,97.86,creator;target forward
Khalidou Cissé,2002124576,41.98,54.01,28.34,81.55,91.44,56.42,51.87,74.6,74.33,67.11,pressing forward;target forward
Giovanni Kamperveen,2002124549,10.16,2.41,7.49,58.82,35.83,64.97,54.01,74.6,75.67,36.1,target forward
Fabrizio Fanciulli,2002124073,55.35,17.11,37.97,37.7,56.95,12.83,13.9,70.05,6.15,16.31,target forward
Cristóbal Fraile,2002145735,82.35,87.17,90.11,35.83,56.95,80.75,80.48,70.05,79.95,86.36,goalscorer;creator;target forward;adwanced forward
Kylian Mbappé,85139014,74.06,92.51,96.79,98.13,56.95,99.2,99.73,70.05,94.39,98.66,goalscorer;creator;target forward;adwanced forward
Christopher Nkunku,85140301,90.37,94.39,96.79,48.13,4.81,96.52,99.2,70.05,19.52,81.82,goalscorer;creator;target forward
