name,uid,conv,shots90,goals90,pressures,tackles90,xA,chancesCreated90,headersWonRatio,keyHeaders,ballRetention,drbls,keyPasses,badges,ratingScores
Vinícius Júnior,19302146,92.08,44.42,77.83,84.17,88.42,94.08,97,26.5,24.25,15.25,98.08,97.75,pressing forward;creator;adwanced forward,{"pressing forward":86;"creator":96;"adwanced forward":98}
Jamal Musiala,28124579,61.08,58.5,65.58,93.17,93.67,92.58,98.17,51.42,24.25,8.08,89.83,97.33,pressing forward;creator;adwanced forward,{"pressing forward":93;"creator":95;"adwanced forward":94}
Erling Haaland,29179241,84.17,98.58,98.67,20,6.83,29.58,51.17,94,77.33,86.67,15.58,39.5,goalscorer;target forward,{"goalscorer":94;"target forward":86}
Kylian Mbappé,85139014,81,87,92.58,93.75,60.5,99.33,99.25,37.5,24.25,8.75,89.42,96.92,goalscorer;creator;adwanced forward,{"goalscorer":87;"creator":99;"adwanced forward":93}
Gabriel Martinelli,19351309,36.33,62.17,51.58,95.58,39.5,90.67,92.42,68.58,52.42,6.25,69.08,88.25,creator,{"creator":92}
Vitor Roque,2000095783,96,48.67,74.75,58.83,12.67,46.75,39.08,24.42,24.25,29.67,64.58,33.58,,{}
Rasmus Højlund,27160181,96,84.75,96.17,26.75,8.33,35.83,47.83,91.58,52.42,79.58,59.92,42.67,goalscorer,{"goalscorer":92}
Evan Ferguson,2000120742,84.17,99.17,99.08,7,29.08,19.17,19.75,79.33,80.58,93.08,10.17,17.08,goalscorer;target forward,{"goalscorer":94;"target forward":84}
Lamine Yamal,2000256231,22.58,71.83,51.58,86.92,76.42,95.58,87.67,94.75,24.25,0.25,88.92,98.08,pressing forward;creator;adwanced forward,{"pressing forward":82;"creator":92;"adwanced forward":94}
Phil Foden,28108494,42.08,25.17,31.5,86.42,66.17,72.17,78.58,15.5,24.25,39.92,47.08,50,creator,{"creator":75}
Rodrygo,19306929,66.5,70.92,63.75,82.58,49.33,96.5,92.42,45.42,24.25,4.58,86.42,86.33,creator;adwanced forward,{"creator":94;"adwanced forward":86}
Estêvão,2000263999,96,84,95.42,36.25,6.83,58.75,67.5,32.75,24.25,90.58,61.17,69.75,goalscorer,{"goalscorer":92}
Mohamed-Ali Cho,2000006280,90,93.33,95.58,73.75,88.42,68.58,70,85.92,80.58,27.75,73,58.83,goalscorer;pressing forward,{"goalscorer":93;"pressing forward":81}
Alejandro Garnacho,2000035036,42.08,58.5,51.58,97.33,76.42,98,98.17,61.83,24.25,12.08,92.67,94.92,pressing forward;creator;adwanced forward,{"pressing forward":87;"creator":98;"adwanced forward":94}
Julio Enciso,79034187,61.08,28.58,31.5,98.42,96,78.17,80.08,21.67,24.25,47.42,81.5,74.42,pressing forward;creator;adwanced forward,{"pressing forward":97;"creator":79;"adwanced forward":78}
Lautaro Martínez,14110660,87.5,34.42,60.33,54.83,33.92,7.33,35.75,32.75,24.25,74.5,2.5,23.83,,{}
Simone Pafundi,2000178997,56.17,95.17,83.67,77.08,49.33,99.08,99.58,29,24.25,5.25,85.75,99.08,creator;adwanced forward,{"creator":99;"adwanced forward":92}
Florian Wirtz,91193048,10.5,31.08,19,67.5,76.42,83.08,78.58,24.42,52.42,27.58,45.75,93.42,creator,{"creator":81}
Julien Duranville,2000155483,7.92,11.25,6.75,99.92,33.92,89.08,54.83,8.5,24.25,5.75,89.58,90.83,adwanced forward,{"adwanced forward":90}
Gonçalo Ramos,83209468,92.08,73.5,91.42,7.58,29.08,41.42,47.83,64.58,83.5,88.42,31.33,50.83,goalscorer,{"goalscorer":86}
Rodrigo Ribeiro,2000104450,77.92,55.67,82.25,89.67,66.17,90.67,95.75,96.25,24.25,16.92,93.33,92.92,creator;adwanced forward,{"creator":93;"adwanced forward":93}
Gonçalo Moreira,2000199219,87.5,25.17,51.58,81.42,66.17,95.58,96.17,15.5,24.25,3.25,95.42,96.92,creator;adwanced forward,{"creator":96;"adwanced forward":96}
Xavi Simons,67288555,70.58,17.08,39.67,79,10.33,64,80.08,32.75,24.25,17.58,66.58,79.75,,{}
Ege Çağlar,2002072846,46.67,89.58,79,62.67,60.5,78.17,88.5,84.42,85.42,29.08,77.42,82.5,creator;adwanced forward,{"creator":83;"adwanced forward":80}
Christopher Nkunku,85140301,94.17,88.58,92.58,39.08,4.42,93.33,99,37.5,24.25,3.75,21.17,68.5,goalscorer;creator,{"goalscorer":92;"creator":96}
Karim Adeyemi,16279486,51.17,55.67,65.58,97.58,54.42,72.17,71.33,58.75,52.42,12.25,96,90.83,creator;adwanced forward,{"creator":72;"adwanced forward":93}
Alexander Isak,93070286,98.42,82.75,98.67,34.5,76.42,35.83,37.33,68.58,24.25,81.75,40.42,21.67,goalscorer,{"goalscorer":93}
Antonio Nusa,2000090211,26.83,45.67,35.75,97.75,80.75,99.92,99,81.5,24.25,4.92,95,98.42,pressing forward;creator;adwanced forward,{"pressing forward":89;"creator":99;"adwanced forward":97}
Elye Wahi,49061868,66.5,95.17,87.33,14.67,84.58,51.5,51.17,81.5,89.5,85.08,36,41.83,target forward,{"target forward":85}
Benjamin Šeško,62246208,84.17,92.08,98.42,24.42,39.5,29.58,47.83,92.83,90.75,72.25,42.17,26,goalscorer;target forward,{"goalscorer":92;"target forward":85}
Marcus Rashford,28100266,31.17,53.92,41.75,95.42,49.33,80.92,80.08,55.75,52.42,17.92,53.58,85.33,creator,{"creator":81}
Victor Osimhen,13158205,90,52.75,83.67,25.83,94.92,14.58,12.25,75.42,64.08,86.92,9.67,20.17,,{}
