name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Bukayo Saka,28122642,87.77,55.28,71.04,64.16,75.35,61.45,82.18,87.26,wide playmaker,{"wide playmaker":86}
Vinícius Júnior,19302146,96.46,89,97.62,97.75,96.07,64.86,97.1,92.47,winger;wide playmaker,{"winger":95;"wide playmaker":95}
Jamal Musiala,28124579,98.07,94.02,83.2,86.74,75.35,61.45,96.14,90.09,winger;wide playmaker,{"winger":91;"wide playmaker":95}
Kylian Mbappé,85139014,98.65,89,90.86,86.1,89.45,80.63,95.88,99.49,winger;inside;wide playmaker,{"winger":91;"inside":89;"wide playmaker":98}
Nuno Mendes,83261910,57.92,97.1,61.97,62.16,3.93,14.22,63.32,50.51,,{}
Pedri,67293495,89.7,80.82,52.64,45.69,29.21,56.5,90.15,87.26,wide playmaker,{"wide playmaker":89}
Assan Ouédraogo,2000188173,83.78,96.2,53.8,55.6,64.61,92.92,82.75,71.36,wide playmaker,{"wide playmaker":79}
Gabriel Martinelli,19351309,89.7,55.28,87.45,58.82,55.15,77.09,84.11,87.26,wide playmaker,{"wide playmaker":87}
Vitor Roque,2000095783,32.82,31.27,48.07,53.99,97.36,87.97,25.35,37.9,,{}
Lamine Yamal,2000256231,81.72,48.78,82.18,85.59,40.03,87.97,97.55,94.98,wide playmaker,{"wide playmaker":91}
Cliff Ingotsi,2002073504,73.81,61.33,81.27,92.6,25.55,56.5,89.9,79.34,wide playmaker,{"wide playmaker":81}
Phil Foden,28108494,71.04,61.33,29.86,36.81,60.23,56.5,39.64,64.09,,{}
Rodrygo,19306929,89.7,66.6,77.99,81.79,78.83,42.34,81.4,95.69,wide playmaker,{"wide playmaker":89}
Kendry Páez,2000252303,99.36,94.02,93.05,95.3,68.66,92.92,98.58,99.1,winger;wide playmaker,{"winger":95;"wide playmaker":99}
Mohamed-Ali Cho,2000006280,60.49,55.28,55.21,63.38,94.53,96.33,48.39,59.65,,{}
Alejandro Garnacho,2000035036,98.07,72.14,89.06,90.6,60.23,56.5,92.6,97.23,winger;wide playmaker,{"winger":87;"wide playmaker":96}
Mykhaylo Mudryk,71101331,83.78,66.6,88.48,90.93,78.83,56.5,79.15,92.47,wide playmaker,{"wide playmaker":85}
Julio Enciso,79034187,72.72,77.48,81.27,74.84,75.35,49.61,63.84,71.36,winger,{"winger":77}
Eliesse Ben Seghir,2000104892,91.18,48.78,58.04,66.09,78.83,73.55,90.41,84.49,wide playmaker,{"wide playmaker":89}
Nico Williams,67276230,69.76,25.48,73.62,51.48,87.58,28.76,69.56,71.36,,{}
Florian Wirtz,91193048,71.04,55.28,49.81,35.84,25.55,53.02,89.9,76.83,wide playmaker,{"wide playmaker":79}
Julien Duranville,2000155483,47.94,21.3,84.88,86.29,21.49,20.59,86.74,84.49,,{}
Rodrigo Ribeiro,2000104450,94.66,77.48,75.1,91.25,87.58,82.24,89.38,87.26,winger;inside;wide playmaker,{"winger":85;"inside":89;"wide playmaker":90}
Gonçalo Moreira,2000199219,95.24,48.78,92.79,93.69,92.73,56.5,95.88,94.98,wide playmaker,{"wide playmaker":95}
Xavi Simons,67288555,72.72,96.59,34.17,55.98,82.24,35.14,70.33,55.02,,{}
Ege Çağlar,2002072846,82.56,66.6,69.88,68.66,64.61,87.97,75.03,71.36,wide playmaker,{"wide playmaker":76}
Christopher Nkunku,85140301,98.46,61.33,29.86,16.92,96.85,59.14,58.11,91.25,,{}
